4871.archive|DLT206 + mss
8474.time|6268.2085
5017.energy|4 GeV
5206.energy|4 GeV
5294.size|191 Mb
5297.trigger|Standard Data
5445.comment| 
5588.comment| 
5640.trigger|Standard Data
5668.date|899347020
5683.filename|r5683.evt
6246.comment|no zero suppression at front end; event sizes about 4k
6276.archive|mss
6463.date|932432700
6553.archive|mss
6719.energy|5.5 GeV
6761.filename|r6761.evt
6788.trigger|pix out
7381.date|959127900
7415.archive|mss + hpss
7779.comment|bsd2 tdc fixed
7797.comment|
7821.size|1049.4 Mb
7822.trigger|Standard Data
7846.date|959850420
7906.filename|r7906.evt
7968.size|911.6 Mb
8015.size|48.5 Mb
8016.trigger|Standard Data
8111.date|960759840
8150.comment|cosmics
8281.archive|mss
8450.energy|none
4864.comment|junk data
7647.uconn.pvfs0.size|332572540
7845.uconn.pvfs0.filename|r7845
7924.hpss.size|765474844
7978.hpss.date|971560860
8190.hpss.size|956301312
8373.hpss.date|971496120
8482.hpss.size|1129447424
8666.hpss.filename|r8666.evt
8089.uconn.pvfs0.date|972509520
8112.uconn.pvfs0.filename|r8112
8180.uconn.pvfs0.date|972518520
8059.jlab.jcache.date|972574200
8198.jlab.jcache.date|972576120
7725.uconn.pvfs0.date|972666000
8063.uconn.pvfs0.date|972666540
8224.uconn.pvfs0.size|0
7649.epics.beam energy|5653
7668.epics.bpm_2_i|129.374
7686.epics.bpm_2_i|130.242
7718.epics.TimeStamp|Sun May 28 04
7723.epics.tagger voltage|106.00
7760.epics.Halo D upstream|43989
7812.epics.Halo D upstream|9
7839.epics.bpm_2_y|0.224
7855.epics.A slit position|-1.00
7880.epics.beam current|129.659
7895.epics.Tagger dump R|1269180
7930.epics.Radiator out|0
7933.epics.bpm_1_i|126.331
7944.epics.Radiator C|0.00
7955.epics.Halo R upstream|924
7956.epics.bpm_2_y|0.217
7960.epics.Helium pressure|0.70
7975.epics.tagger current|2046.66
7985.epics.Tagger dump L|0
7989.epics.beam current|129.433
7994.epics.A slit position|-1.00
8022.epics.tagger current|0.00
8085.epics.Radiator out|0
8086.epics.bpm_1_i|129.396
8094.epics.Radiator B|1.00
8128.epics.A slit position|8.00
8139.epics.Tagger dump L|18567
8167.epics.Halo D upstream|10161
8171.epics.Radiator D|0.00
8178.epics.bpm_2_x|-0.553
8211.epics.bpm_2_x|0.000
8218.epics.Radiator D|0.00
8241.epics.Tagger dump R|591536
8276.epics.TimeStamp|Mon Jun 19 05
8304.epics.bpm_1_x|2.649
8341.epics.Radiator A|1.00
8354.epics.Master OR|27874478
8358.epics.B slit position|8.00
8359.epics.C slit position|-1.00
8383.epics.Halo L upstream|0
8430.epics.bpm_2_y|0.134
8433.epics.Halo R upstream|745
8460.epics.bpm_1_y|1.197
8491.epics.bpm_1_i|0.000
8492.epics.Radiator out|0
8504.epics.Tagger dump L|1390
8508.epics.beam current|76.601
8529.epics.bpm_1_y|0.547
8550.epics.bpm_1_i|73.656
8553.epics.Radiator out|0
8603.epics.beam current|75.650
8623.epics.Halo U upstream|12150
8625.epics.TimeStamp|Mon Jul 24 03
8634.epics.Tagger dump R|16454
8646.epics.bpm_2_x|-0.888
8672.epics.bpm_2_i|76.312
8704.epics.A slit position|-1.00
8715.epics.Tagger dump L|0
8719.epics.beam current|0.004
7562.timecorr|0.
7690.timecorr|0.00473695714
8237.timecorr|2666.15918
8664.timecorr|3268.21655
7924.time|3395.91602
8051.time|0.
8190.time|4945.12549
8482.time|7210.35352
8565.time|309.549988
4878.comment|urs1 did its log-off trick; might be ok 
5023.date|897493860
5039.filename|r5039.evt
5292.archive|mss
5321.filename|r5321.evt
5376.size|249 Mb
5416.energy|4 GeV
5522.trigger|Standard Data
6310.energy|5.5 GeV
6319.size|32.6 Mb
6614.filename|r6614.evt
6624.date|932997300
6661.size|72.5 Mb
7292.energy|5.65 GeV
7344.trigger|Standard Data
7439.comment|TAG timing settings was 8
7469.trigger|Standard Data
7482.filename|r7482.evt
7520.trigger|Standard Data
7638.trigger|Standard Data
7641.energy|5.65 GeV
7648.size|155.7 Mb
7713.trigger|Standard Data
8013.archive|mss
8222.energy|5.65 GeV
8313.filename|r8313.evt
8320.comment|ended with full disk
8402.date|962120820
8617.energy|5.65 GeV
7827.archive|mss
5117.trigger|Standard Data
7416.uconn.pvfs0.date|970621680
7493.uconn.pvfs0.filename|r7493
7578.uconn.pvfs0.filename|r7578
7660.uconn.pvfs0.filename|r7660
