4871.archive|DLT206 + mss
8330.epics.bpm_2_y|0.157
8339.epics.Halo L upstream|1076
8342.epics.Halo R upstream|754
8349.epics.TimeStamp|Fri Jun 23 09
8359.epics.Radiator C|0.00
8359.epics.bpm_1_y|0.540
8393.epics.Master OR|32904425
8394.epics.bpm_1_x|-1.530
8400.epics.bpm_1_x|-1.479
8407.epics.Master OR|26236379
8410.epics.Halo L upstream|845
8413.epics.Halo U upstream|10519
8413.epics.Radiator out|0
8419.epics.C slit position|-1.00
8419.epics.bpm_2_y|0.143
8433.epics.bpm_2_i|76.562
8435.epics.beam current|79.029
8440.epics.beam current|74.988
8446.epics.bpm_2_i|75.611
8476.epics.Tagger dump U|0
8481.epics.bpm_1_i|78.233
8512.epics.A slit position|-1.00
8543.epics.Tagger dump L|781
8546.epics.B slit position|16.78
8549.epics.beam current|76.258
8566.epics.bpm_1_i|75.994
8568.epics.Radiator A|1.00
8579.epics.beam energy|5653
8581.epics.Tagger dump R|26003
8586.epics.Radiator A|1.00
8593.epics.beam energy|5653
8647.epics.Helium pressure|0.69
8662.epics.TimeStamp|Thu Jul 27 10
8666.epics.Radiator B|0.00
8669.epics.Halo R upstream|2340
8682.epics.Radiator D|0.00
8686.epics.A slit position|-1.00
8690.epics.beam energy|5653
8702.epics.bpm_1_i|76.840
7901.timecorr|1942.43079
8368.timecorr|2688.89307
8474.timecorr|2746.82544
8007.time|2569.3501
8072.time|2272.87671
8546.time|1500.12939
5294.trigger|Standard Data
5150.archive|mss
5165.energy|4 GeV
5168.comment|debugging glass 
5212.size|82 Mb
5238.filename|r5238.evt
5271.date|898377720
5387.trigger|Standard Data
5443.comment| 
5576.archive|mss
5628.trigger|Standard Data
5639.date|899265840
6240.comment|run to test UPV, UPV out of trigger
6432.energy|5.5 GeV
6461.archive|mss
6510.comment|5 nA min bias
6607.trigger|minim bias + pixel
6639.filename|r6639.evt
6727.size|43.9 Mb
6739.archive|mss
6784.date|933669180
6792.size|77.8 Mb
7314.archive|mss
7354.energy|5.65 GeV
7383.archive|mss
7456.filename|r7456.evt
7538.energy|5.65 GeV
7625.filename|r7625.evt
7721.archive|mss
7791.comment|
7804.energy|5.65 GeV
7844.archive|mss + hpss
7871.energy|5.65 GeV
7896.comment|
7938.archive|mss + hpss
7953.size|605.9 Mb
7967.date|960138780
8008.size|919.9 Mb
8030.energy|none
8067.archive|mss
8093.size|1074.5 Mb
8113.archive|mss
8156.comment|
8184.archive|mss + hpss
8242.comment|hot block problems
8332.filename|r8332.evt
8371.trigger|Standard Data
8435.size|1092.4 Mb
8440.size|1091.5 Mb
8452.date|962917680
8465.trigger|L1 only
8513.energy|5.65 GeV
8549.size|1093.0 Mb
8637.comment|Lots of steering problems/UPV rates high
8687.energy|5.65 GeV
7535.comment|trigger restored
5125.archive|mss
7560.uconn.pvfs0.filename|r7560
7692.uconn.pvfs0.filename|r7692
7828.uconn.pvfs0.date|971150940
7902.uconn.pvfs0.size|825871892
8167.hpss.size|914489344
8376.hpss.filename|r8376.evt
7678.uconn.pvfs0.filename|r7678
8468.uconn.pvfs1.date|972666240
8521.uconn.pvfs1.date|971416320
8524.uconn.pvfs1.filename|r8524
8335.hpss.date|972306780
8332.jlab.jcache.date|971206380
8333.jlab.jcache.size|269877248
8235.uconn.pvfs0.filename|r8235
8280.uconn.pvfs0.filename|r8280
8379.uconn.pvfs1.filename|r8379
7674.epics.Halo D upstream|40839
7704.epics.tagger current|2046.66
7754.epics.tagger voltage|105.80
7778.epics.thermionic gun|-50.000
7792.epics.beam current|0.046
7795.epics.beam energy|5653
7796.epics.thermionic gun|-50.000
7824.epics.TimeStamp|Wed May 31 00
7828.epics.Radiator D|0.00
7828.epics.bpm_2_i|130.478
7848.epics.Halo U upstream|9813
7878.epics.beam energy|5653
7884.epics.A slit position|-1.00
7892.epics.beam energy|5653
7895.epics.beam current|129.649
7900.epics.bpm_1_i|129.435
7913.epics.bpm_1_y|0.000
7934.epics.Halo U upstream|9965
7941.epics.Halo U upstream|9899
7950.epics.Radiator out|0
7977.epics.B slit position|17.43
8010.epics.TimeStamp|Mon Jun  5 04
8028.epics.Halo L upstream|0
8029.epics.C slit position|8.00
8039.epics.beam energy|5653
8081.epics.Halo U upstream|9394
8090.epics.Radiator out|0
8131.epics.A slit position|-1.00
8144.epics.A slit position|8.00
8172.epics.tagger current|2046.66
8188.epics.Halo U upstream|10
8200.epics.Master OR|27786215
8214.epics.Tagger dump R|0
8215.epics.Helium pressure|0.69
8221.epics.Radiator B|0.00
8221.epics.bpm_1_x|0.000
8239.epics.Halo D upstream|8
8241.epics.beam current|76.577
8256.epics.bpm_2_y|0.148
8260.epics.Helium pressure|0.58
8261.epics.Tagger dump R|382880
8280.epics.Radiator C|0.00
8312.epics.Tagger dump U|0
8317.epics.Tagger dump L|8100
8330.epics.bpm_2_x|-0.552
8341.epics.Halo D upstream|11420
8354.epics.Halo R upstream|756
8354.epics.Radiator A|1.00
8359.epics.Radiator B|0.00
8359.epics.bpm_1_x|-1.479
8362.epics.Tagger dump L|6335
8367.epics.Tagger dump U|0
8369.epics.bpm_1_i|74.853
8374.epics.Halo L upstream|901
8375.epics.C slit position|-1.00
8394.epics.bpm_1_y|0.596
8400.epics.bpm_1_y|0.551
8419.epics.bpm_2_x|0.008
8423.epics.Halo U upstream|10545
8436.epics.Radiator out|0
7496.time|1423.37012
8443.epics.Radiator out|0
8454.epics.Radiator D|0.00
8454.epics.bpm_2_i|0.000
8460.epics.Halo L upstream|13511
8461.epics.C slit position|54.00
8468.epics.B slit position|-1.00
8475.epics.bpm_1_i|76.618
8496.epics.Halo U upstream|6
8528.epics.C slit position|-1.00
8529.epics.Halo L upstream|870
8537.epics.TimeStamp|Mon Jul 17 18
8557.epics.Halo U upstream|9293
8579.epics.A slit position|-1.00
8593.epics.A slit position|-1.00
8619.epics.Halo R upstream|962
8619.epics.Radiator A|1.00
8633.epics.beam energy|5653
8634.epics.beam current|76.616
8642.epics.Helium pressure|0.55
8643.epics.Tagger dump R|28493
8666.epics.Radiator C|0.00
8689.epics.beam current|77.313
8690.epics.A slit position|-1.00
7494.timecorr|743.764282
7612.timecorr|631.847534
7667.timecorr|633.858398
7689.timecorr|649.987793
8200.timecorr|2675.47534
7508.time|1606.82007
7610.time|496.540039
7665.time|1387.91992
8109.time|5038.97412
8202.time|9748.90137
5260.trigger|Standard Data
4779.comment|laser test (again!?!) 
4806.archive|DLT202
4887.comment|CPV and UPV bypassed 
4900.filename|r4900.evt
5021.trigger|Standard Data
5050.date|897556440
5054.trigger|no RPD
5241.date|898307940
5245.trigger|Standard Data
5279.size|40 Mb
5293.size|243 Mb
5313.energy|4 GeV
5412.archive|mss
5467.archive|mss
5468.filename|r5468.evt
5631.size|250 Mb
6254.comment|ended early when beam went down "for a while."
6284.energy|cosmics
6314.archive|mss
6585.archive|mss
6622.date|932991120
6663.filename|r6663.evt
6678.size|57.5 Mb
6693.energy|5.5 GeV
6713.size|6.9 Mb
6756.date|933474600
7156.filename|r7156.evt
7217.comment|beam is off--forgot to download
7299.filename|r7299.evt
7376.size|527.5 Mb
7421.archive|mss
7492.energy|5.65 GeV
7579.energy|5.65 GeV
7614.energy|5.65 GeV
7645.archive|mss
7661.energy|5.65 GeV
7868.comment|
7826.size|113.8 Mb
7886.comment|
7913.trigger|min bias
7917.date|960023520
8012.size|1103.9 Mb
8133.comment|ended due to lack of level 2 triggers
8146.comment|
8206.energy|5.65 GeV
8226.archive|mss
8229.filename|r8229.evt
8299.energy|5.65 GeV
8351.filename|r8351.evt
8394.trigger|Standard Data
8400.trigger|Standard Data
8404.date|962132700
8591.comment|
8605.comment|disk filled up
8613.archive|mss + hpss
8692.comment|
7547.comment|rate problems
4826.energy|4 GeV
5107.size|87.4 Mb
8390.date|962104740
7510.uconn.pvfs0.filename|r7510
7550.uconn.pvfs0.size|1401524
7608.uconn.pvfs0.filename|r7608
7701.uconn.pvfs0.filename|r7701
7756.uconn.pvfs0.size|435703396
7859.uconn.pvfs0.size|226488132
7891.hpss.size|664374136
7933.uconn.pvfs0.date|971172000
7946.uconn.pvfs0.date|971226420
7796.hpss.size|824234460
7822.jlab.jcache.date|972142560
7971.hpss.date|971535240
8519.hpss.size|1136656384
8527.hpss.date|968345520
8630.hpss.size|1119879168
7870.jlab.jcache.filename|r7870.evt
7998.uconn.pvfs0.size|486174720
8086.uconn.pvfs0.date|972509520
8118.uconn.pvfs0.date|972513600
8177.uconn.pvfs0.filename|r8177
8199.uconn.pvfs0.size|946634752
7539.jlab.jcache.filename|r7539.evt
8031.jlab.jcache.filename|r8031.evt
8559.uconn.pvfs1.date|972608100
8058.uconn.pvfs0.size|0
8124.uconn.pvfs0.size|0
8459.uconn.pvfs1.filename|r8459
8498.uconn.pvfs1.date|972666300
7680.epics.bpm_1_y|-8.568
7681.epics.bpm_1_x|15.931
7700.epics.beam current|0.040
7709.epics.beam energy|5653
7741.epics.Halo R upstream|3750
7746.epics.C slit position|8.00
7747.epics.B slit position|17.00
7775.epics.thermionic gun|-50.000
7790.epics.Halo D upstream|44167
7803.epics.thermionic gun|-50.000
7806.epics.bpm_1_i|0.068
7808.epics.Halo D upstream|31
7828.epics.Helium pressure|0.76
7841.epics.Tagger dump L|97711
7848.epics.bpm_2_x|-0.603
7863.epics.C slit position|8.00
7864.epics.Halo R upstream|914
7873.epics.bpm_1_i|0.000
7897.epics.Halo D upstream|10774
7899.epics.bpm_1_i|129.889
7909.epics.Halo L upstream|798
7917.epics.bpm_2_i|0.000
7929.epics.Radiator C|0.00
7934.epics.bpm_2_x|-0.598
7937.epics.Radiator out|0
7941.epics.bpm_2_x|-0.511
7942.epics.Radiator out|0
7948.epics.Tagger dump L|64516
7983.epics.Halo R upstream|951
7984.epics.C slit position|8.00
7985.epics.B slit position|17.43
8028.epics.A slit position|-1.00
8032.epics.bpm_1_i|0.000
8043.epics.Halo R upstream|0
8044.epics.C slit position|8.00
8045.epics.B slit position|8.00
8062.epics.Tagger dump L|0
8068.epics.Radiator out|0
8081.epics.bpm_2_x|-0.604
8082.epics.Radiator out|0
8088.epics.Tagger dump L|50848
8102.epics.bpm_1_y|0.600
8103.epics.bpm_1_x|-1.365
8116.epics.Tagger dump L|5
8138.epics.C slit position|-1.00
8139.epics.B slit position|16.03
8157.epics.Halo D upstream|9
8159.epics.bpm_1_i|0.000
8176.epics.beam current|133.553
8181.epics.Tagger dump L|22120
8188.epics.bpm_2_x|0.000
8204.epics.Radiator D|0.00
8208.epics.bpm_1_x|-1.501
8209.epics.bpm_1_y|0.550
8216.epics.beam energy|5653
8221.epics.Radiator A|1.00
8243.epics.Halo D upstream|11
8263.epics.beam energy|5653
8296.epics.bpm_1_y|0.666
8297.epics.bpm_1_x|1.376
8307.epics.TimeStamp|Tue Jun 20 23
8315.epics.Halo L upstream|749
8323.epics.Halo U upstream|10347
8338.epics.Tagger dump R|56238
8351.epics.Tagger dump U|0
8354.epics.Radiator B|0.00
8359.epics.Radiator A|1.00
8360.epics.Halo L upstream|876
8374.epics.A slit position|-1.00
8383.epics.bpm_2_y|0.000
8390.epics.bpm_2_i|77.156
8404.epics.bpm_2_i|79.522
8408.epics.TimeStamp|Wed Jun 28 00
8411.epics.Tagger dump R|158387
8420.epics.Radiator out|0
8423.epics.bpm_2_x|0.001
8454.epics.Helium pressure|0.55
8460.epics.A slit position|24.00
8463.epics.Master OR|3238428
8495.epics.Radiator out|0
8496.epics.bpm_2_x|0.000
8502.epics.Halo R upstream|1042
8504.epics.B slit position|16.77
8505.epics.C slit position|-1.00
8511.epics.bpm_1_i|0.000
8529.epics.A slit position|-1.00
8557.epics.bpm_2_x|-0.003
8568.epics.Radiator C|0.00
8570.epics.C slit position|2.11
8571.epics.B slit position|16.75
8577.epics.Halo R upstream|3227
8586.epics.Radiator C|0.00
8619.epics.Radiator B|0.00
8636.epics.Halo D upstream|10933
8638.epics.bpm_1_i|0.000
8641.epics.beam energy|5653
8648.epics.beam current|72.207
8674.epics.bpm_1_y|0.000
8675.epics.bpm_1_x|5653
8679.epics.Radiator D|0.00
8685.epics.bpm_1_i|76.559
8698.epics.B slit position|16.75
8699.epics.C slit position|-1.00
8713.epics.Halo R upstream|2265
8714.epics.C slit position|8.00
8715.epics.B slit position|16.20
7976.timecorr|53.9189034
8021.timecorr|0.00317819114
8469.timecorr|0.000169205901
8520.timecorr|2897.9895
7480.time|444.971375
8311.time|4182.65674
8364.time|5565.86963
8478.time|5387.02588
4635.size|149 Mb
4825.energy|4 GeV
4858.date|892586220
5034.comment| 
5258.comment|Production run continues... 
5310.energy|4 GeV
5439.energy|4 GeV
5522.filename|r5522.evt
5526.size|293 Mb
5527.date|898957020
5556.archive|mss
5610.comment|ramping from 100nA to 150nA 
6221.archive|mss
6331.trigger|cosmics
6422.size|124.1 Mb
6445.archive|mss
6571.archive|mss
6619.comment|
6690.energy|5.5 GeV
6765.comment|125 nA
7183.energy|no beam
7275.date|958940880
7340.size|500.2 Mb
7341.date|959051280
7344.filename|r7344.evt
7453.trigger|Standard Data
7469.filename|r7469.evt
7491.energy|5.65 GeV
7514.archive|mss
7520.filename|r7520.evt
7524.size|394.2 Mb
7525.date|959314800
7598.date|959394420
7599.size|423.9 Mb
7617.energy|5.65 GeV
7620.trigger|cosmic
7638.filename|r7638.evt
7662.energy|5.65 GeV
7705.archive|mss
7713.filename|r7713.evt
7716.date|959540940
7717.size|2.4 Mb
7762.size|19.9 Mb
7763.date|959614140
7766.filename|r7766.evt
7788.size|342.6 Mb
7789.date|959677500
7814.filename|r7814.evt
7902.comment|
8161.filename|r8161.evt
8164.date|961005840
8165.size|0 b
8173.archive|mss + hpss
8205.energy|5.65 GeV
8278.date|961422360
8279.size|1077.6 Mb
8337.trigger|Standard Data
8477.comment|
8678.energy|5.65 GeV
7810.size|4.0 Mb
5112.date|897883200
5113.size|128.0 Kb
5117.filename|r5117.evt
7496.uconn.pvfs0.filename|r7496
7508.uconn.pvfs0.filename|r7508
7610.uconn.pvfs0.filename|r7610
7822.uconn.pvfs0.date|971144400
7838.uconn.pvfs0.size|59317088
7853.hpss.date|972236220
7992.hpss.date|972263400
7785.jlab.jcache.filename|r7785.evt
8079.uconn.pvfs0.size|301867008
7665.uconn.pvfs0.filename|r7665
7957.uconn.pvfs0.size|13469304
8193.hpss.date|971054280
8262.hpss.size|1130758144
8327.hpss.filename|r8327.evt
8481.hpss.date|971922240
8566.hpss.date|968577300
8640.hpss.size|1127219200
8702.hpss.date|971602860
7788.jlab.jcache.date|972141960
7824.jlab.jcache.size|683933696
8010.jlab.jcache.size|1154744320
8279.jlab.jcache.date|971206020
8109.uconn.pvfs0.filename|r8109
8202.uconn.pvfs0.filename|r8202
8016.uconn.pvfs0.date|972567180
8097.uconn.pvfs0.size|0
7524.jlab.jcache.date|972575040
8168.jlab.jcache.filename|r8168.evt
8274.jlab.jcache.filename|r8274.evt
8328.uconn.pvfs1.filename|r8328
8431.uconn.pvfs1.date|972587940
8444.uconn.pvfs1.date|972590160
8531.uconn.pvfs1.size|958300160
7665.epics.B slit position|17.00
7680.epics.bpm_1_x|17.869
7681.epics.bpm_1_y|-7.725
7711.epics.Halo L upstream|74
7758.epics.bpm_2_i|128.869
7764.epics.Halo L upstream|88
7769.epics.beam current|0.034
7778.epics.tagger voltage|106.00
7780.epics.Halo R upstream|4014
7783.epics.beam current|0.046
7791.epics.Halo D upstream|39889
7796.epics.tagger voltage|106.00
7807.epics.bpm_1_i|0.000
7818.epics.Halo R upstream|934
7826.epics.C slit position|8.00
7834.epics.tagger current|2046.66
7848.epics.bpm_2_y|0.212
7856.epics.Tagger dump U|1595392
7857.epics.bpm_2_i|129.875
7866.epics.Tagger dump L|112938
7872.epics.bpm_1_i|132.926
7888.epics.Tagger dump L|93100
7898.epics.bpm_1_i|128.976
7922.epics.Tagger dump U|0
7923.epics.bpm_2_i|128.521
7929.epics.Radiator B|1.00
7934.epics.bpm_2_y|0.263
7937.epics.beam energy|5653
7941.epics.bpm_2_y|0.230
7942.epics.beam energy|5653
7972.epics.Tagger dump R|1061499
7981.epics.Tagger dump L|57790
7996.epics.bpm_2_i|129.723
7997.epics.Tagger dump U|1667794
8000.epics.tagger current|2046.66
8012.epics.C slit position|8.00
8029.epics.Halo U upstream|0
8033.epics.bpm_1_i|0.000
8041.epics.Tagger dump L|0
8056.epics.bpm_2_i|0.000
8057.epics.Tagger dump U|0
7494.time|2105.14014
8068.epics.beam energy|5653
8075.epics.tagger current|2046.66
8081.epics.bpm_2_y|0.213
8082.epics.beam energy|5653
8102.epics.bpm_1_x|-1.410
8103.epics.bpm_1_y|0.586
8109.epics.B slit position|15.94
8148.epics.Tagger dump L|0
8156.epics.Halo D upstream|8
8158.epics.bpm_1_i|0.000
8163.epics.Halo L upstream|738
8188.epics.bpm_2_y|0.000
8196.epics.Tagger dump U|0
8197.epics.bpm_2_i|73.349
8202.epics.B slit position|16.44
8208.epics.bpm_1_y|0.564
8209.epics.bpm_1_x|-1.433
8226.epics.Helium pressure|0.57
8228.epics.Master OR|20
8242.epics.Halo D upstream|11647
8256.epics.A slit position|-1.00
8258.epics.TimeStamp|Sun Jun 18 11
8272.epics.beam current|1.922
8280.epics.Radiator A|1.00
8283.epics.Radiator D|0.00
8296.epics.bpm_1_x|1.395
8297.epics.bpm_1_y|0.694
8302.epics.Radiator out|0
8320.epics.TimeStamp|Wed Jun 21 14
8350.epics.Master OR|10
8354.epics.Radiator C|0.00
8375.epics.Halo U upstream|10505
8379.epics.Tagger dump R|291199
8383.epics.bpm_2_x|0.000
8399.epics.Radiator out|0
8420.epics.beam energy|5653
8423.epics.bpm_2_y|0.156
8448.epics.tagger current|0.00
8461.epics.Halo U upstream|72817
8495.epics.beam energy|5653
8496.epics.bpm_2_y|0.000
8500.epics.Tagger dump L|1527
8510.epics.bpm_1_i|76.493
8528.epics.Halo U upstream|10900
8541.epics.tagger current|2045.00
8557.epics.bpm_2_y|0.137
8562.epics.bpm_2_i|77.354
8568.epics.Radiator B|0.00
8575.epics.Tagger dump L|0
8586.epics.Radiator B|0.00
8619.epics.Radiator C|0.00
8622.epics.Halo R upstream|897
8637.epics.Halo D upstream|10643
8639.epics.bpm_1_i|76.178
8654.epics.beam current|77.401
8657.epics.Halo R upstream|0
8659.epics.Halo L upstream|1945
8665.epics.Radiator D|0.00
8666.epics.Radiator A|1.00
8674.epics.bpm_1_x|0.000
8675.epics.bpm_1_y|0.531
8684.epics.bpm_1_i|76.752
8706.epics.bpm_2_i|79.895
8707.epics.Tagger dump U|0
8711.epics.Tagger dump L|414
8228.timecorr|2717.17603
8350.timecorr|1755.82422
7612.time|1318.34973
7667.time|2316.8689
7689.time|3582.73584
8200.time|5915.08545
4892.comment|back to production runnin 
5005.date|897306060
5074.trigger|no RPD MAM at 0x5
5138.size|139 Mb
5147.comment|JUNK 
5211.size|272 Mb
5230.archive|mss
5246.filename|r5246.evt
5261.date|898358220
5337.energy|4 GeV
5386.date|898623720
5478.trigger|Standard Data
5510.comment|waiting for beam 
5565.comment| 
5629.date|899235900
5679.comment|125-130 nA beam current 
6329.trigger|min bias
6483.comment|40nA up until beam disappeared
6606.date|932946180
6625.filename|r6625.evt
6631.archive|mss
6644.archive|mss
6651.trigger|Standard Data
6724.size|59.6 Mb
6751.filename|r6751.evt
6791.size|73.4 Mb
7202.comment|first run with the new triggerd--seems to work
7552.comment|as of this run, swapped out integrators in upper crate slot 16, channel 4 and lower crate slot 14 channel 24
7754.comment|voltage cpv-8 back to 1050 V
7910.filename|r7910.evt
7950.size|916.1 Mb
8090.size|4.2 Mb
8126.comment|5 nA rad B L3 out
8301.energy|no beam
8323.trigger|Standard Data
8370.date|961889700
8397.filename|r8397.evt
8403.filename|r8403.evt
8436.size|1093.1 Mb
8443.size|1092.2 Mb
8464.date|963392040
8489.comment|cosmics, checkout integrator swap of r7 c23
8580.comment|
7439.uconn.pvfs0.filename|r7439
7534.uconn.pvfs0.size|152
7548.uconn.pvfs0.date|970809240
7742.uconn.pvfs0.date|970973040
7790.uconn.pvfs0.size|822196332
7808.uconn.pvfs0.size|9698352
7867.uconn.pvfs0.date|971070360
7889.uconn.pvfs0.date|971086080
7897.uconn.pvfs0.size|68712964
7930.hpss.size|634773504
7945.hpss.size|753213276
8011.hpss.date|971594940
8085.hpss.size|520224768
8311.hpss.filename|r8311.evt
8364.hpss.filename|r8364.evt
8478.hpss.filename|r8478.evt
8492.hpss.size|1118568448
8553.hpss.size|1142685696
8659.uconn.pvfs1.size|932864000
8413.archive|mss + hpss
8427.hpss.size|719585280
7837.jlab.jcache.date|971378340
7958.jlab.jcache.date|971379360
8003.jlab.jcache.date|971461500
8076.jlab.jcache.date|971467140
8098.jlab.jcache.date|971470380
8306.jlab.scratch.date|964639440
8409.jlab.scratch.date|968831100
7980.uconn.pvfs0.date|972501000
8149.uconn.pvfs0.date|972567300
8258.uconn.pvfs0.filename|r8258
8301.jlab.jcache.size|3801088
8664.uconn.pvfs1.filename|r8664
8580.uconn.pvfs1.date|972612300
8157.uconn.pvfs0.size|0
8243.uconn.pvfs0.size|0
8489.uconn.pvfs1.date|972666240
7650.epics.beam current|0.046
7654.epics.Halo U upstream|38220
7671.epics.bpm_2_x|-0.602
7683.epics.bpm_1_x|18.190
7709.epics.B slit position|17.00
7779.epics.bpm_2_i|129.296
7797.epics.bpm_2_i|129.301
7828.epics.Radiator A|0.00
7856.epics.Tagger dump R|1671846
7864.epics.Master OR|28099913
7870.epics.Radiator out|0
7890.epics.bpm_2_i|0.000
7914.epics.Halo D upstream|11197
7922.epics.Tagger dump R|0
7930.epics.beam energy|5653
7945.epics.beam energy|5653
7963.epics.tagger current|2046.66
7965.epics.Halo L upstream|0
7972.epics.Tagger dump U|1677259
7983.epics.Master OR|27004633
7985.epics.Helium pressure|0.86
7997.epics.Tagger dump R|977671
8011.epics.bpm_2_y|0.000
8018.epics.Halo L upstream|0
8031.epics.Radiator out|0
8043.epics.Master OR|27
8045.epics.Helium pressure|0.67
8057.epics.Tagger dump R|0
8085.epics.beam energy|5653
8101.epics.bpm_1_x|0.000
8139.epics.Helium pressure|0.61
8150.epics.bpm_2_i|0.000
8196.epics.Tagger dump R|0
8204.epics.Radiator B|0.00
8216.epics.B slit position|-1.03
8228.epics.A slit position|7.05
8244.epics.bpm_2_i|0.000
8251.epics.Halo U upstream|10369
8255.epics.beam current|0.007
8258.epics.bpm_1_i|76.039
8263.epics.B slit position|16.37
8283.epics.Radiator C|0.00
8289.epics.bpm_2_x|-0.557
8295.epics.bpm_1_x|-1.483
8320.epics.bpm_1_i|75.290
8308.epics.Halo D upstream|11282
8312.epics.C slit position|-1.00
8323.epics.TimeStamp|Wed Jun 21 18
8329.epics.Halo U upstream|11
8330.epics.Tagger dump L|5864
8344.epics.bpm_2_x|0.003
8350.epics.A slit position|8.00
8354.epics.Radiator D|0.00
8355.epics.bpm_1_y|0.558
8367.epics.C slit position|-1.00
8379.epics.Tagger dump U|0
8382.epics.Halo R upstream|0
8393.epics.Halo D upstream|11289
8407.epics.Halo D upstream|8717
8416.epics.Halo R upstream|724
8419.epics.Tagger dump L|2558
8450.epics.Halo L upstream|0
8454.epics.Radiator A|0.00
8459.epics.bpm_2_y|0.656
8492.epics.beam energy|5653
8502.epics.Master OR|24907727
8504.epics.Helium pressure|0.59
8512.epics.Radiator out|0
8539.epics.tagger current|2045.00
8553.epics.beam energy|5653
8571.epics.Helium pressure|0.53
8577.epics.Master OR|26843752
8618.epics.bpm_1_y|0.545
8619.epics.Radiator D|0.00
8641.epics.B slit position|16.75
8665.epics.Radiator C|0.00
8677.epics.bpm_1_x|-1.453
8679.epics.Radiator B|0.00
8686.epics.Radiator out|0
8698.epics.Helium pressure|0.52
8707.epics.Tagger dump R|16733
8713.epics.Master OR|30766928
8715.epics.Helium pressure|0.71
7758.timecorr|1615.84656
7857.timecorr|1582.41943
7923.timecorr|0.338180155
7996.timecorr|1134.14197
8056.timecorr|0.000295387377
8197.timecorr|608.749207
8485.timecorr|2739.20215
8562.timecorr|2806.52954
8706.timecorr|3337.92432
7569.time|137.930008
7671.time|1417.64941
8289.time|5460.06836
8344.time|5571.65332
5225.trigger|Standard Data
5037.date|897532200
5042.archive|mss
5050.comment| 
5072.size|384 Mb
5076.filename|r5076.evt
5223.size|276 Mb
5227.filename|r5227.evt
5235.archive|mss
5241.comment| 
5253.energy|4 GeV
5327.energy|4 GeV
5611.trigger|Standard Data
5613.date|899179800
6598.size|105.4 Mb
6618.trigger|Standard Data
6622.comment|5nA
6634.archive|mss
6641.archive|mss
6653.filename|r6653.evt
6756.comment|125 nA
6766.date|933525780
7438.filename|r7438.evt
7449.size|128.0 Kb
7628.archive|mss
7658.size|420.0 Mb
7901.date|959958780
7903.trigger|Standard Data
7909.energy|5.65 GeV
7917.comment|pedestals
8259.filename|r8259.evt
8315.energy|5.65 GeV
8321.filename|r8321.evt
8325.size|1079.9 Mb
8360.energy|5.65 GeV
8368.date|961883520
8404.comment|
8416.archive|mss + hpss
8474.date|963455160
8476.trigger|Standard Data
7484.energy|5.65 GeV
5035.trigger|Standard Data
8390.comment|aborted during start
7476.uconn.pvfs0.size|20746012
7498.uconn.pvfs0.filename|r7498
7506.uconn.pvfs0.filename|r7506
7582.uconn.pvfs0.size|458177696
7601.uconn.pvfs0.size|336815608
7685.uconn.pvfs0.filename|r7685
7708.uconn.pvfs0.size|81650652
7785.hpss.date|972226020
7855.uconn.pvfs0.date|971066160
7878.hpss.filename|r7878.evt
7892.hpss.filename|r7892.itape
7921.uconn.pvfs0.date|971160420
7795.hpss.filename|r7795.itape
8715.jlab.jcache.size|417857536
8664.jlab.jcache.date|971379000
8195.uconn.pvfs0.date|972521220
8415.uconn.pvfs1.date|971399700
8421.uconn.pvfs1.size|946065408
8523.hpss.size|1128136704
8627.hpss.date|969776040
8633.hpss.filename|r8633.evt
8652.hpss.date|970050360
8382.archive|mss + hpss
7985.jlab.jcache.size|622190592
8282.jlab.jcache.date|972142080
8368.jlab.jcache.filename|r8368.evt
8474.jlab.jcache.filename|r8474.evt
8698.jlab.jcache.size|1119092736
7994.uconn.pvfs0.date|972503040
8293.uconn.pvfs0.filename|r8293
8045.jlab.jcache.size|1310720
8139.jlab.jcache.size|56623104
8494.uconn.pvfs1.size|942243840
8678.uconn.pvfs1.filename|r8678
8262.uconn.pvfs0.size|943796224
8555.uconn.pvfs1.size|942882816
7519.uconn.pvfs0.size|313567168
7573.uconn.pvfs0.filename|r7573
8054.uconn.pvfs0.date|972666540
8128.uconn.pvfs0.date|972666720
8217.uconn.pvfs0.size|0
8381.uconn.pvfs1.date|972666120
7668.epics.Halo U upstream|38579
7671.epics.bpm_2_y|0.208
7683.epics.bpm_1_y|-8.892
7686.epics.Halo U upstream|39131
7706.epics.Halo R upstream|3673
7716.epics.C slit position|8.00
7744.epics.Halo D upstream|43926
7756.epics.TimeStamp|Sun May 28 23
7758.epics.tagger voltage|106.00
7763.epics.C slit position|8.00
7773.epics.bpm_1_i|0.068
7776.epics.A slit position|-1.00
7780.epics.B slit position|17.00
7780.epics.tagger current|2046.66
7781.epics.bpm_2_i|114.914
7789.epics.C slit position|8.00
7797.epics.Halo L upstream|91
7798.epics.A slit position|-1.00
7800.epics.A slit position|-1.00
7805.epics.bpm_1_i|0.075
7818.epics.B slit position|17.00
7818.epics.tagger current|2046.66
7819.epics.bpm_2_i|129.193
7850.epics.Master OR|30985251
7859.epics.TimeStamp|Wed May 31 23
7861.epics.Halo D upstream|10545
7870.epics.bpm_1_i|127.971
7873.epics.Tagger dump L|0
7874.epics.Radiator A|0.00
7875.epics.A slit position|-1.00
7890.epics.Halo L upstream|0
7899.epics.Tagger dump L|92612
